artist,debut_date,debut_track,mbid,verified
trf,1993-02-25,This Is the Truth,a48b9f88-0cc3-40c7-9a40-58db01ea7b73,false
tuki.,2023-09-29,晩餐歌,1359dfb8-8220-4ebe-aeb9-b759ed737c41,false
yama,2019-11-15,ねむるまち,a3becc83-9dab-48c6-9513-e269e1e4c49a,false
★STAR GUiTAR,2011-01-07,Carbon Copy,4cab0a06-51bb-4dcd-bcb6-de6685cb34ab,false
あいみょん,2015-02-22,貴方解剖純愛歌～死ね～,908d9ac2-5187-4b9e-b281-601c6afb0791,false
いきものがかり,2006-03-15,SAKURA,18191eea-369f-42e8-96ab-c1c24e4d0011,false
いしだあゆみ,1968-06-10,太陽は泣いている,4632417f-6cb6-43c6-8a22-dac232b30906,false
いしだ壱成,1994-02-25,WARNING,2a143548-747c-441d-a2e3-0e947b168c1f,false
うしろゆびさされ組,1985-10-05,うしろゆびさされ組,39ff79d7-0c14-4c05-8d81-c4d982c8f130,false
うしろ髪ひかれ隊,1987-05-07,時の河を越えて,a4d1f8c9-bb1d-4fb3-b3d1-8b32cd3843a0,false
おくのほそみち,2020-07-22,自殺志願者が余命191秒で見た憧憬 - 新録,961781a6-348d-477a-afc4-d36cf138e963,false
おニャン子クラブ,1985-09-21,KICK OFF,b19d5a80-25be-4bab-aded-8252e5c60483,false
くじら,2019-11-15,ねむるまち,f965776a-54a5-4ea7-8fe1-286bbd2ec154,false
くず,2003-03-26,くずアルバム,721580b9-b319-4bfc-b2b0-c43d21d40975,false
こっちのけんと,2022-12-10,死ぬな!,f0d4005f-e138-472b-97f6-02233375ad90,false
さだまさし,1976-11-25,帰去来,238addd3-ec38-4946-aab0-108997af5569,false
たま,1989-05,でんご,d2e49eb7-c843-499c-b194-9103333a9954,false
ちあきなおみ,1970-11-10,別れたあとで,7ea58fbf-121a-495b-8bd7-e12336306f2b,false
ちゃんみな,2016-08-31,Princess,96ec7174-5836-4ff8-8d6a-11d90c7a5e62,false
ときめき♡宣伝部,2015-06-24,土っキュン♡!!少女,b901c170-0045-4555-8472-8ff0d59cbefe,false
とんねるず,1981-08-25,ピョン吉・ロックンロール / 夢行きチケット,94b0a557-0e87-4baf-b751-93fce17df6d9,false
なとり,2022-09-07,Overdose,cad9e169-893d-4432-a23f-3aa16beb9f0e,false
なにわ男子,2021-11-12,初心LOVE,91460ddb-8d0a-41af-bf3e-0e78616d4f08,false
のはらしんのすけ,1993-07-15,オラはにんきもの,5c50bc9f-dda8-4199-bf16-34a85cfe51d0,false
はなわ,2003-10-01,HANAWA ROCK,715e5a0e-0f8e-49c4-bd16-cf89c5fd5168,false
はるまきごはん,2017-07-12,ドリームレス・ドリームス,73c1558a-4c3c-4c9d-baca-8d26546c09e7,false
まえけん♂トランス・プロジェクト,2006-08-23,東京チャランス,16f738f0-90b9-4615-8abd-67032330b189,false
みちとせ,2024-08-31,ヒマワリ,c4766f2b-84ef-4a43-a6c3-637f14f6dbd7,false
ももいろクローバーZ,2009-08-05,ももいろパンチ,3862143a-a878-4176-88d5-a0cfae83cdf6,false
わらべ,1982-12-21,めだかの兄弟,0a1e43a7-a319-4fef-8297-0993c73cab81,true
アイナ・ジ・エンド,2018-09-19,夜王子と月の姫 / きえないで,19827018-8590-4ff1-9ab1-d12296e75a63,false
アラジン,2008-07-30,陽は、また昇る,7b6c63a8-19c4-4113-80f3-fd6d2385f94a,false
アリス,2021-12-25,告白 / キセキフルヨル,7cdd30dd-363a-4bfc-932c-8bb46b8c3e95,false
アンジェラ・アキ,2005-09-14,HOME,d5eb154a-8768-4ee8-91db-9c2467b4e0f0,false
アンダーグラフ,2004-09-22,TSUBASA,8238c1a8-3ed8-4b1c-b0b0-1e02886f32b1,false
アン・ルイス,1971-02-25,白い週末,e39e5e16-cc13-4c20-99d2-1ddd4f374166,false
イモ欽トリオ,1981-08-05,ハイスクールララバイ,0af2f830-ed3b-46fc-a95c-4c4a05c036a0,false
ウルフルズ,1992-05-13,やぶれかぶれ,07e857bd-ca54-4754-ba6a-a0f3a5d7d1c4,false
エレファントカシマシ,1988-03-21,THE ELEPHANT KASHIMASHI,a634953a-e8fa-4879-8b1c-26024b3d3cb6,false
オフコース,1973-06-05,僕の贈りもの,fd7aa6ad-9ecc-47d5-9cd6-446a578de6bc,false
オヨネーズ,2019-07-10,オヨネーズ名曲集~麦畑,1daaa533-ad1c-4c41-b73d-acc72eebc5a4,false
カズン,1995-10-16,冬のファンタジー,7505c54b-0962-489a-b1e1-41383af4ef0f,false
キグルミ,2006-09-06,たらこ・たらこ・たらこ,0acb9f99-9f1b-4e45-bb05-fd2169d13dcc,false
キタニタツヤ,2019-02-09,Sad Girl,80b3cb83-b7a3-4f79-ad42-8325cefb3626,false
キンモクセイ,2002-01-09,二人のアカボシ,cd75fe8d-74d3-442c-a5fd-5a4871306d51,false
クイーン,2014-01-11,アイドル♥︎ミラクルバイブルシリーズ ガール・グループ3,03732fe4-dd16-46ed-8434-e563ce6c7992,false
クリスタルキング,1979-11-21,大都会,f9af8d1b-ea8d-47b6-802a-8a6add637634,false
クリープハイプ,2012-10-03,おやすみ泣き声、さよなら歌姫,3b7bc38c-7e3a-4085-81eb-0440e3b120a7,false
クレイジーケンバンド,1998-06-25,PUNCH!PUNCH!PUNCH!,c0347d84-96a8-4c8e-8992-178b7862468e,false
コブクロ,1999-07-21,Saturday 8:PM,1ca30529-e9b1-4478-8455-c885974cb1d7,false
ゴスペラーズ,1995-10-21,The Gospellers,820eba45-24a9-4698-a5cb-73230ab96c19,false
サイプレス上野とロベルト吉野,2012-02-22,ちゅうぶらりん feat. 後藤まりこ,3bedaaf7-f5c9-42c0-9e48-67d6547b2a2c,false
サザンオールスターズ,1978-06-25,勝手にシンドバッド,24d9e513-c215-4901-87ee-b66aa769ab9d,false
サスケ,2004-10-06,Smile,28b3f78c-7909-4ca0-89c5-c2d95d25180a,false
サディスティック・ミカ・バンド,1975-04,"Suki, Suki, Suki",8c760c35-c775-497a-b52c-71865a3c818f,false
サンボマスター,2003-04-23,キックの鬼,061f1885-21ed-4d1a-abf8-c0efd9a67694,true
ザ・ぼんち,2013-02-20,THE BONCHI CLUB+7,4bb7ec03-c287-4eeb-ae2a-abe06f832ee5,false
ザ・ドリフターズ,1989-07-12,ビッグ・アーティスト・ベスト・コレクション,3b5e0d5a-b6c1-43d7-b890-c98d6cf82bf7,false
シャイトープ,2023-02-13,pink,efb6c694-a97a-4d33-b3ce-3c0a5d1127cd,false
シャボン,2013-01-09,BIG VENUS,88cd5cb4-4244-401b-a676-afd492614977,false
シャ乱Q,1992-07-22,18ヶ月,58531adc-d602-4e77-b94a-5f8f93832dea,false
ジェニーハイ,2018-10-17,ジェニーハイ,31dd8aee-a1c4-4680-86e0-5e5598f946da,false
チェウニ,2010-12-15,雪は、バラードのように…,7781bf3f-bd30-44d3-80f3-75c021afafd1,false
チェッカーズ,1988-03-21,ONE NIGHT GIGOLO,081fd4e0-a888-40ce-8269-ff366d6a2420,false
ヨルシカ,2017-06-28,夏草が邪魔をする,dfc6a151-3792-4695-8fda-f64723eaa788,false
レミオロメン,2003-03-12,フェスタ,fc816e64-4b43-44d1-8a85-9bdf3a1b8120,false
ロードオブメジャー,2002-08-28,大切なもの,a0907219-5631-4a52-af3f-ac946e0e4c64,false
一世風靡セピア,1984-06-25,前略、道の上より,1aaff81a-c88b-46c6-abb2-65f8b752c57f,false
一青窈,2002-10-30,もらい泣き,a9d5acd5-ea36-4dab-b91f-63cb505f19f6,false
三上博史,1994-05-01,a place in THE HEART,d4e5f899-82b4-4aa8-b9ab-7312dc1982d8,false
三浦大知,2014-03-14,Covers EP,9ba40854-1c67-4864-a3df-9a86050cd316,false
上原多香子,1999-03-25,my first love,5ce4935b-1d49-45ae-a7fd-5db5286dd59e,false
上戸彩,2002-08-28,Pureness,618ccbce-ceb1-404f-aca5-e3d2a8a1742e,false
上木彩矢,2005-05-25,CONSTELLATION,84a99276-f277-47d6-aa8a-dc2edf206af5,false
上田知華,1999-01-21,Time To Say Goodbye,f40473b5-c910-4ac2-9abc-62c9fe8142ae,false
中原めいこ,1983-03-21,Friday Magic,6cbac548-3b1f-49db-a028-b73906e25011,false
中園理沙,2009-03-18,ショパン de ジブリ,aec2fe5a-afd6-45c2-a711-8d49e91979dc,false
中山美穂,1985-08-21,「C」,30d83c58-baeb-4474-b6c5-6704d00c4c20,false
中島 美嘉,2002-08-28,TRUE,f8d6e5df-069e-4b8d-9a13-cc7e0a558dd1,false
中島みゆき,1976-04-25,私の声が聞こえますか,75312493-4d98-498e-8d75-62f88ceaf55c,false
中川 翔子,2006-07-05,Brilliant Dream,731552b6-04d5-4d5d-9fdf-4e38b410c04b,false
中村 中,2008-07-09,風立ちぬ,38aceeb2-7d14-4bd1-93dc-802fe12f5064,false
中村あゆみ,1984-10-21,Midnight Kids,75ec7527-9ddf-46b4-a3ae-c60a4f335aa9,false
中村晃子,2004-11-03,虹色の湖,ea79410f-7d28-4900-978f-c7a70fb3e22a,false
中村雅俊,1974-07-01,ふれあい,2d4513c5-b7bb-4c5d-b9ac-8c30e2c78dbf,false
中森明菜,1982-07-01,プロローグ〈序幕〉,9f18e7f6-08e8-4b85-a5d9-070a60ee522a,false
中西保志,1992-08-10,最後の雨 / 君が微笑むなら,c4b32193-8d75-4358-9e3a-b1229d0195c0,false
中西圭三,1992-01-22,Woman,470285ec-def6-42e8-9818-1dcdc1a7ad1f,false
乃木坂46,2012-02-22,ぐるぐるカーテン,466f7b0a-a3e6-435d-8326-b4ef825a609d,false
乃紫,2022-12-30,杯杯,159fc4b3-02cb-479b-bfe5-583b73f5f5af,false
久保田 早紀,1979-10-01,異邦人,b9455791-8459-41a5-bc79-788bfb1e5ef2,false
久宝 留理子,1992-12-02,泣かずにいられない,f3bf8be8-b773-4555-acce-b28ca3514a86,false
久松史奈,1991-01-21,FOR MY FRIENDS,513070be-bfab-4a9f-b5e5-c413aef5627e,false
亀梨和也,2019-05-15,Rain,5921f587-d1d4-4563-823e-e634d0be60d1,false
五十嵐浩晃,1981-08-26,想い出のサマー・ソング,96e7731e-d6e2-40e4-bea5-98c1b4d67b0c,false
五木ひろし,1975-05-25,千曲川,7197f5ed-5167-4e73-8ee6-bebf18831fb2,false
井上大輔,1982-02-05,めぐりあい／ビギニング,31f392ff-aacf-480b-b96e-c5b795d707bc,false
井上陽水,1972-05-01,断絶,278ee887-eea4-432c-81c7-f0fa8790d5fb,false
今井美樹,1986-12-05,femme,1f5a820f-41fc-472c-b799-e5cee8ba2343,false
伊藤 由奈,2005-09-06,ENDLESS STORY,4dbe211d-c208-41e3-9810-ab17149412e0,false
伊藤つかさ,1981-09-01,少女人形,72b62a8f-7078-4a43-b8be-b43ebf3df6b4,false
伊藤敏博,1981-08,サヨナラ模様,80731099-1e14-4af7-84fa-b5e9bf461f1e,false
伍代 夏子,1998-03-11,港恋唄,35978fb2-1736-4717-987d-de2fd9a1dbfe,false
佐野元春,1980-04-21,BACK TO THE STREET,013509c5-7444-4982-88ce-e0f60c6a3fab,false
佳山明生,1982-12,氷雨,1f8077e9-5ac3-4b73-872a-63d8ec037862,false
倉木麻衣,2000-06-28,delicious way,60f41bf9-86cb-482b-a1b3-64a3da90fa4a,false
倉沢淳美,1984-03-21,プロフィール,a7864f4a-5a6e-4434-9b5d-cbb8ea09ca69,false
倖田來未,2002-03-27,affection,455641ea-fff4-49f6-8fb4-49f961d8f1ac,false
優里,2019-12-01,かくれんぼ,4337f1a5-9e02-4b46-98c3-e3c28683a9b5,false
元ちとせ,2001-03-09,Hajime Chitose,9452777a-c9a5-4a7e-9fde-231e51a81122,false
光永亮太,2003-07-02,Inside My Heart,f425cc8f-17de-4648-ad0a-e4ebc318ed98,false
児島未散,1987-03-21,100のハートが“I Love You”,f35e3a0f-c02c-484e-85d3-12caf095b9ca,false
八神純子,1978-06-25,思い出は美しすぎて,5e9d72b6-1c77-4234-ba3c-4f1879fcd600,false
冠 二郎,1993-11-21,全曲集/人情酒場,8988d4e5-63f2-4d05-9fed-fdd2279d08b9,false
冠二郎,1993-11-21,全曲集/人情酒場,8988d4e5-63f2-4d05-9fed-fdd2279d08b9,false
切腹ピストルズ,2024-06-30,やけ節,9f2ce8fa-2e03-40aa-b745-b65532196faf,false
前田 亘輝,1993-11-10,"Try Boy, Try Girl",ff0ffd29-1a07-489e-b0f3-c154c6cd7fc2,false
剛 紫,2009-04-10,空〜美しい我の空,b2867940-4e3c-4438-b79b-e59fd541d602,false
加藤 ミリヤ,2005-10-26,Rose,4bdbf164-8f44-4688-a701-d62b70e8a870,false
区麗情,2000-07-19,大切な人,1fab000a-2a4c-4d65-906b-cf219c1dd921,false
南佳孝,1973-09-21,摩天楼のヒロイン,31290caa-6d46-4ea1-a04a-3c146167ef48,false
南野 陽子,1986-04-21,ジェラート,0a88f89b-1fd4-4e92-a02d-8dbab8dbf482,false
南雲ゆうき,2020-06-30,Stick Candy,9df37077-009e-4f1d-8f3e-61d363743747,false
原 由子,1991-11-01,負けるな女の子!,47d8262f-6611-4158-8469-7c305adcc055,false
原因は自分にある。,2020-01-22,嗜好に関する世論調査,7d364176-f413-4894-9f31-f29d87f0dfae,false
原田悠里,1984-09-21,さよなら,ee3191ef-80ad-4487-9a74-ff50634768f5,false
原田知世,1984-11-26,撫子純情,664711df-2fb0-4ee5-aaf6-a8d1a6e8a2b9,false
友成空,2023-12-16,改札,12a72f22-33c3-468e-8a3b-1ed6c11fcfef,false
反町隆史,1997-07-30,FOREVER,1d06aa30-c38c-4722-9786-e18fd26b6119,false
古内東子,1993-10-21,逢いたいから,7a708283-c9c6-4506-acc1-68c10c563341,false
吉俣良,2000-05-24,天使が消えた街 オリジナル・サウンドトラック,4812f84c-6eda-4c9d-9e89-5a2a984c58a4,false
吉岡秀隆,1994-01-07,ラストソング,a4b2d926-bece-4f85-b739-7832f4f5f91e,false
吉川 晃司,1984-03-01,パラシュートが落ちた夏,c4c42ed5-eabb-440e-a2e0-2c0e193c7109,false
吉川晃司,1984-03-01,パラシュートが落ちた夏,c4c42ed5-eabb-440e-a2e0-2c0e193c7109,false
吉幾三,1994-05-25,酔歌・・・追伸,b59cce0c-bf28-42d1-8cfe-2545d390e66e,false
吉沢秋絵,1985-11-01,なぜ?の嵐,98d7bf00-50b4-447e-8bc4-c1a787bed302,false
吉田栄作,1990-09-12,少年のいた夏,093fc111-1661-414f-8ef0-8c63dd315f3e,false
唐沢美帆,2001-09-05,ライヴ,00aea1be-0c57-4e56-98d3-e7b19dea0ba4,false
嘉門達夫,1989-11-21,バルセロナ,392769c1-1a62-4f43-9afe-da7b88deef0b,false
国武万里,1993-07-21,ポケベルが鳴らなくて,58aa8ec7-0bb4-403f-812a-650c6e27bf29,false
国生 さゆり,1986-02-01,バレンタイン・キッス,5b10c04c-f33f-4c6b-9761-1be5e8d5f079,false
坂上香織,1989-04-26,プラトニックつらぬいて,d73ec851-8ed6-4963-844b-d124e0b3a99c,false
坂本冬美,1988-04-29,祝い酒,12a9f509-ceac-4de1-8780-73bb1a278b9c,false
堀ちえみ,1984-01-21,白いハンカチーフ,2a185c76-9bc7-44dd-8993-56195302e5da,false
堀内孝雄,1990-04-25,恋唄綴り,e3b83bf8-3d66-4acf-8c53-215fe7036162,false
堀江 淳,1981-04-02,メモリーグラス,765bc6a9-df6e-4c5b-a0b9-6f3a31813ee0,false
堂本 光一,2006-01-11,Endless Shock,28637e1f-f695-4026-a3af-b73fad518db7,false
堂本剛,2002-05-29,街/溺愛ロジック,21ff2e57-964c-47a7-9e32-22ca7cddaf54,false
夏川りみ,2001-03-23,涙そうそう,90cff12d-6d11-4d4e-8147-42446b11359a,false
大事MANブラザーズバンド,1991-08-25,それが大事,aceacf96-b11c-4dba-b856-5db31455c3e6,false
大内義昭,1996-02-01,月が泣いている,b356123b-0951-49d2-a920-f214f3a126b9,false
大友康平,1997-06-18,HEAVEN,ef0480e8-120e-4c4e-901d-27501519bdf4,false
大塚 愛,2004-03-31,LOVE PUNCH,e476adc4-d5e7-427a-b86f-70ecc970b009,false
大川栄策,1982-08-01,さざんかの宿,36e60dc7-84e7-42da-b54d-3fb9e6fb8b7f,false
大森靖子,2012-04-15,PINK,bcb49893-f5e0-48e4-b6fb-f4ef74b5463d,false
大江 千里,1988-10-21,これから,63215327-a08b-4e6d-a9cb-264903e3f96b,false
大沢 誉志幸,1984-02-25,Scoop,1e5a7213-c5b3-4471-bc47-4ee768ae2de1,false
大泉逸郎,1999-04-21,孫,4e6af2f7-f0e5-426e-bf9a-496a8b962a97,false
大滝詠一,1971-12-10,恋の汽車ポッポ,e4aa4f0c-3d21-4ad2-ad2a-7d34da50373e,false
大門弥生,2018-08-08,Heel de nioudachi,5aa87524-2eda-4623-a6de-38fb77990867,false
大黒摩季,1992-09-23,DA・KA・RA,8f23a8a8-26a5-413f-a7a4-55b46401a9bf,false
天川祐,2023-01-16,ありがとう,6778518c-fa56-4601-bbce-90e0819a53e2,false
天童よしみ,1987-04-21,天童よしみ 北海めおと節,41ae1766-655c-4ae3-9ea1-1594c46430d5,false
太田家,2020-11-25,愛読書,340dac1b-3164-4866-9c7b-f5faeb87ff39,false
太陽とシスコムーン,1999-04-21,月と太陽,0cf77233-da4e-4c36-b70e-6d36a645adca,false
奇妙礼太郎,2009-11-11,KING OF MUSIC,3e73e973-0839-4f07-b19c-18451f4d8acc,false
奥田民生,1994-10-21,愛のために,ef8c4ade-2712-408a-bf49-aeeb59296f78,false
女王蜂,2018-04-25,HALF,9b643375-2913-4877-bb1e-3de576ff20ab,false
宇多田ヒカル,1998-01-28,Precious,b539e453-c4fe-47e3-8a07-8517eac74429,false
宇宙,1998-02,1st,ff911c90-b5db-4687-88cc-ccd0ee9aba89,false
安全地帯,1983-01-25,安全地帯I Remember to Remember,c9966482-268c-4a30-b951-7eb72b539268,false
安田成美,1988-03-25,風の谷のナウシカ,a81de976-ca9b-4ba3-a115-96597cf26c9b,false
寺尾 聰,1977-08-05,16の夏,79c57d15-4f6a-423c-a624-42d82f7a651a,false
小室哲哉,1986-01-22,Vampire Hunter D,de242082-2f3e-4ce5-99e1-7839559da089,false
小林 旭,1996-04-01,アキラ節〜アキラのジーンとパラダイス,6fcfd8b4-cb77-4b43-8535-8953740d6a97,false
小林幸子,1998-09-03,風といっしょに,29b8b5ea-9b2e-45d6-aa2e-afccf53405f2,false
小林明子,1985-08-31,恋におちて -Fall in love-,96a33a93-49b7-4189-85e8-1b8a0f044995,false
小柳ゆき,1999-09-15,あなたのキスを数えましょう〜You were mine,58f8930e-52d8-464f-a0c2-1d8b51e4b334,false
小柳ルミ子,1977-01-25,思い出にだかれて,9bd7e111-cd1c-4e4a-9bee-fc177a76234f,false
小比類巻かほる,1985-11-21,CALL MY NAME,03f3839d-adb0-425f-bf19-61c6c3750dfd,false
小池徹平,2007-02-14,君に贈る歌 / ラッキーでハッピー,172d9e1a-5979-4e2f-8ef4-80afe237c92e,false
小沢健二,1994-03-09,今夜はブギー・バック (nice vocal),15e021ec-3232-4b2e-a12f-97d44fcc1b4b,false
小泉今日子,1982-08-21,マイ・ファンタジー,52af6a73-d1f9-4b74-923d-4a790938f4c3,false
小田 和正,1985-06-01,今だから,3305d1ad-c935-45ea-b79d-b4d1caba8757,false
小袋成彬,2018-05-23,丸ノ内サディスティック,a672ed48-a0f0-47bc-8969-a52f9a11b6ea,false
小野正利,1992-05-21,ピュアになれ,82acbd32-0347-4fa4-9b76-242867aec688,false
尾崎豊,1983-12-01,15の夜,6163a297-49b6-4d23-9641-fb3fd462d171,false
尾形大作,1989-11-28,心 風流にして 中国,9fac62aa-0798-49b7-9e7b-a9678b82b51e,false
山下久美子,1987-04-01,re-SWEETS,3efb2880-5034-42c9-a03a-b43559dc5294,false
山下智久,2006-05-31,抱いてセニョリータ,9e6ba0af-7670-4751-a324-1f2728429d2e,false
山口由子,1997-02-05,太陽と月に背いて,99efea01-a103-441c-b6ab-f08444e5d501,false
山口百恵,1973-08-21,山口百恵ファースト・アルバム／としごろ,85c1ff8e-b819-416d-9b73-5be468f7211a,false
山崎まさよし,1996-04-01,アレルギーの特効薬,9c98108e-ee2b-4d99-a54c-279e5f32b25b,false
山崎育三郎,2024-07-05,クランクアップ,f291edbe-05a7-41a9-9847-6a723d062466,false
山本譲二,1980-08-05,みちのくひとり旅,5cf1c319-36b3-4ef5-8ad4-54de868c1514,false
山本陽介,2016-05-25,ALL-WAYS,4d273a65-0dec-452d-ae22-f3ecd391360c,false
山根康広,1993-01-21,Get Along Together,f5f13277-4179-4223-86be-dce6d0c48db1,false
山猿,2015-07-08,風,378e1909-726a-417e-9249-c0cf7759bfb5,false
山田タマル,2006-04-05,My Brand New Eden,0a11f3d5-4ea3-4ef9-befe-b24ddfeaedcc,false
岡崎友紀,2001-03-07,ドゥー・ユー・リメンバー・ミー,f86bb4bf-db18-49b1-8a86-4ebac0c0d33a,false
岡本真夜,1996-11-01,未来へのプレゼント,bfe7386b-b9bd-4859-bac3-846594b1b777,false
岡田有希子,1984-04-21,ファースト・デイト,4a1560cf-67e4-44f7-b99a-fcf84defc831,false
岩崎宏美,1975-09-05,あおぞら,7f4b1f97-b010-4a02-ba3e-6af929799c28,false
岩崎良美,1980-07-21,Ring‐a‐Ding,0e9fdf7f-1d40-4835-8144-338dbe009dec,false
岸田智史,1991-05-15,モーニング,8ab8284f-dcd9-404e-8e1f-b91a9da05834,false
島田歌穂,1981-04-25,マンガチック ロマンス,7383d2c8-50d1-4537-ac37-201220ee2063,false
嵐,1999-11-03,A・RA・SHI,1008b912-cbb1-4e4c-bd4d-b9adf6937e8e,false
川中美幸,1998-01-01,二輪草,831ead09-c7c0-42ec-b91e-731a0e61bda3,false
川嶋あい,2002-07-13,この場所から・・・,6d7ef4a5-26c9-45e7-ad19-24ec48c50ed4,false
川本真琴,1996-05-02,愛の才能,9498d766-accf-4c26-8143-5baf0ac90ce2,false
川村カオリ,1990-11-21,三日月に腰かけて,485b5653-765d-40d7-a482-36240e2b3ad5,false
川畑 要,2000-12-15,最後の夜 / My Cherie Amour,a0421603-6446-47c6-a523-e474f9eb9dd8,false
工藤静香,1988-01-21,ミステリアス,387fa358-76f6-45bb-8d6a-9ab2e862b656,false
布袋寅泰,1988-10-05,GUITARHYTHM,5565ae4b-bb20-48a4-a8b0-dfdeb53b555a,false
平井 堅,1995-05-13,Precious Junk,0a3ca23c-a730-4bae-b99e-c90e12566a35,false
平井大,2019-02-27,THE GIFT,d04b4d86-222f-4bcd-86d7-c70d33ebd41c,false
平原綾香,2003-12-17,Jupiter,c09bd129-77b6-45b0-9be1-b259a3625bf2,false
平松愛理,1990-12-05,素敵なルネッサンス,01fa2f9d-b77d-4e69-a6ba-05c1a02e1b34,false
幾田りら,2019-11-16,Jukebox,55e42264-ef27-49d8-93fd-29f930dc96e4,false
広瀬香美,1992-07-22,Bingo!,3597f215-1cc1-4395-97e5-c64cdae51ca1,false
庄野真代,1978-04-01,飛んでイスタンブール,f2ada226-75ec-4898-b709-85a91e3a2c50,false
後浦なつみ,2004-10-06,恋愛戦隊シツレンジャー,e359b54e-8245-459e-a39a-6f40d75960ef,false
後藤真希,2001-03-28,愛のバカやろう,678ba12a-e485-44c7-8eaf-25e61a78a61b,false
忌野清志郎,1982-02-14,い・け・な・いルージュマジック,c2ee3fed-2f9d-42bf-b524-a19cee50d616,false
成世昌平,1999-11-21,はぐれコキリコ,0aa11e3c-f5e7-4e43-8119-41146129edf9,false
手嶌 葵,2017-11-22,東京,997b8f01-ee60-43aa-b7b3-b7aee9fe7590,false
手嶌葵,2017-11-22,東京,997b8f01-ee60-43aa-b7b3-b7aee9fe7590,false
斉藤由貴,1985-06-21,AXIA,7095445d-743a-45a5-91e8-ee3807ab93a4,false
新しい学校のリーダーズ,2016-07-25,学校行けやあ゛,12a43a61-e31a-4cac-92a6-c95ce9cdfe3c,false
新井大樹,2011-12-28,天然記念惣,fb8fdacf-9361-424e-94d5-b3e5c4704acc,false
新田恵利,1986-01-01,冬のオペラグラス,9ede1656-1f31-45ee-8737-b96131e60803,false
日向坂46,2019-03-27,キュン,8f357b97-90ea-4320-8869-1684164067f5,false
日野美歌,1982-12-05,氷雨,6948cdb4-a38d-4631-80cc-3ea41b60b8ec,false
早見優,1982-06-21,AND I LOVE YOU,35b5c6ae-5fe4-47ba-a5da-34c40c1eeffd,false
星街すいせい,2020-03-22,NEXT COLOR PLANET,8eeb59f4-0071-4261-b1f8-91d8294622d2,false
星野源,2011-03-02,くだらないの中に,2c6c53ea-09d4-4d98-b174-c9aa83d4fecf,false
時給800円,2004-11-25,たまには泣いてもいいですか?,9b0fd8a4-a3d5-4ff7-948e-5be3aaaf4389,false
月森楓,2020-09-23,あなたにラブリンちゅ♡,edae7f63-d28d-4782-8358-9dbe6f12bff8,false
有坂美香,1999-10-21,dis- / 夢を過ぎても,87682a9b-a617-4bd5-844a-62798dbe8cd0,false
木下珠子,2023-09-09,ハナミズキ（cover）,805fa8bd-8732-4532-89d6-51df04a8a19a,false
木村カエラ,2004-06-23,Level 42,1e21cd5d-75e4-4585-9963-2d6c7d54fd79,false
未来玲可,1998-11-04,海とあなたの物語,b0a92e36-ad2e-4649-8746-71b9ad912bf9,false
本田美奈子,1985-11-21,M’シンドローム,c5d88ef7-0b59-40be-951a-1f70a21a51a4,false
杉 良太郎,1989-01-21,若き特攻隊員の挽歌,09ded9a7-8a07-4fb2-ad6f-668bb1e90a5b,false
杉山清貴,1983-09-21,AQUA CITY,9a28e9a6-f848-4e33-be94-cd84d4a20b92,false
杉本哲太,2009-11-24,CRASH,f745f133-f651-4722-8546-83d89259e37e,false
杉村 尚美,1981-01-25,サンセット・メモリー,93c4c87f-76bd-435b-afff-ed986c4c6b4c,false
杏里,1978-11-21,杏里-apricot jam-,2e178faf-fbe6-44b3-8339-1b13e8ecc754,false
村下孝蔵,1983-08-25,踊り子,6eb08ad8-4d22-4fa2-9291-db5892caa9c0,false
来生たかお,1981-11-10,夢の途中 〜セーラー服と機関銃,5c45e24b-b812-4567-a374-71806a1fbe5d,false
東京スカパラダイスオーケストラ,1989-11-18,Tokyo Ska Paradise Orchestra,d77f4539-0661-4741-9307-60ebbd72f5ee,false
東京事変,2004-09-08,群青日和,b3d0f168-cb34-47c6-8529-fc05d1fce3ee,false
東方LostWord,2021-12-11,NAЯAKA,449d2108-d1b4-4712-be9a-6c3b6036f483,false
東方神起,2004-10-13,TRI-ANGLE,05cbaf37-6dc2-4f71-a0ce-d633447d90c3,false
東野純直,1993-04-01,君とピアノと,60bfe49d-9eba-4c1d-82e3-43c6662c58e0,false
松 たか子,1997-03-21,明日、春が来たら,24f7547e-bbb4-4bfd-80f2-e9d872da9b67,false
松井祐貴,2011-12-07,For you...,23d82794-ca41-45b9-b2b7-612346e1500b,false
松任谷由実,1973-11-20,ひこうき雲,0d27f48b-c8d7-464b-85e5-5a2b823436c9,false
松室政哉,2017-11-01,毎秒、君に恋してる,d441aef9-8637-4e47-805c-e87bd62b5677,false
松山千春,1980-11-21,木枯らしに抱かれて,2fb99ff4-0fc2-48ea-99ed-19c67409132f,false
松平健,2005-09-14,マツケンサンバⅢ,28cafcc3-7a67-430e-a57c-6143a2ad7cdd,false
松本伊代,1981-12-05,センチメンタルI・Y・O,884cfb30-3f5c-48c6-b056-8dc15a1b480b,false
松本孝弘,1991-09-25,'88〜Love Story,61ef6490-3c02-4940-9cae-375358954ec2,false
松本梨香,1995-04-26,スリルに恋して,d90cf71a-3f44-4612-9f8b-4578823bce6b,false
松本英子,1999-06-02,涙のチカラ,f33491a8-b9c8-4bbe-ba5b-86b515017e4b,false
松村和子,2010-04-21,面影しぐれ,b431a3c5-fb9b-46bc-aa79-deb194ba7b44,false
